,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
62,Abdul Waheed (KSA),2024-2024,23,21,4,687,110,40.41,497,138.22,1,3,1,66,27
63,Azmatullah Omarzai (AFG),2024-2024,36,34,4,686,149*,22.86,648,105.86,1,3,7,40,29
64,Haider Butt (BHR),2024-2024,22,21,6,682,79*,45.46,526,129.65,-,6,-,48,34
65,Meet Bhavsar (KUW),2024-2024,26,26,3,679,72,29.52,550,123.45,-,5,-,55,19
66,SA Edwards (NED),2024-2024,32,30,2,675,99,24.1,651,103.68,-,5,1,47,14
67,SR Mukkamalla (USA),2024-2024,17,16,2,672,107,48.0,611,109.98,1,6,1,56,19
68,Rahmat Shah (AFG),2024-2024,18,19,1,671,234,37.27,1111,60.39,1,6,1,66,4
69,SD Hope (WI),2024-2024,25,25,6,665,117,35.0,611,108.83,1,4,2,40,35
70,R Chopra (UAE),2024-2024,28,25,4,664,80,31.61,695,95.53,-,5,2,55,22
71,Mahmudullah (BAN),2024-2024,29,26,5,659,98,31.38,627,105.1,-,6,2,46,28
72,V Kohli (IND),2024-2024,23,32,2,655,100*,21.83,893,73.34,1,2,4,64,12
73,Babar Hayat (HKG),2024-2024,27,23,2,651,110,31.0,474,137.34,1,3,3,31,50
74,Hashmatullah Shahidi (AFG),2024-2024,17,17,3,646,246,46.14,1125,57.42,1,4,-,58,1
75,Towhid Hridoy (BAN),2024-2024,27,26,5,643,96*,30.61,576,111.63,-,4,1,38,26
76,K Bhurtel (NEP),2024-2024,35,34,3,636,92*,20.51,635,100.15,-,4,6,58,24
77,B McMullen (SCOT),2024-2024,21,18,2,633,151,39.56,596,106.2,1,4,-,56,24
78,TWM Latham (NZ),2024-2024,12,24,-,633,86,26.37,1232,51.37,-,4,2,75,1
79,Muhammad Tanveer (QAT),2024-2024,18,18,4,632,80*,45.14,454,139.2,-,4,1,50,32
80,T de Zorzi (SA),2024-2024,15,22,-,631,177,28.68,1000,63.1,1,1,1,60,12
81,RD Rickelton (SA),2024-2024,22,25,1,626,101,26.08,831,75.33,1,2,1,58,20
82,T Bavuma (SA),2024-2024,11,16,2,622,113,44.42,1082,57.48,1,4,1,60,8
83,RR Hendricks (SA),2024-2024,26,26,1,614,117,24.56,508,120.86,1,3,3,55,30
84,M Labuschagne (AUS),2024-2024,19,24,3,612,90,29.14,1147,53.35,-,7,1,61,3
85,C Green (AUS),2024-2024,14,15,4,610,174*,55.45,848,71.93,1,2,-,62,17
86,Pargat Singh (CAN),2024-2024,20,20,1,607,87*,31.94,744,81.58,-,5,1,73,9
87,AT Carey (AUS),2024-2024,13,18,3,604,98*,40.26,759,79.57,-,5,-,60,8
88,BA Stokes (ENG),2024-2024,13,23,2,602,80,28.66,916,65.72,-,5,1,62,9
